participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,player.id_in_group,player.role,player.payoff,player.correcttablespractice,player.correcttables,player.correcttables2,player.score,player.score2,group.id_in_subsession,subsession.round_number,Average matrices,Average verbal,Total Ranking,Task 2,,,
24,j03lg33h,28,28,24,,0,1,8,9,25,31,1,2,1.71,1.38,3.09,1.57,,Highest round 1 matrices:,9
25,enj2v3mx,28,28,25,,0,1,6,4,38,41,1,1,1.03,1.95,2.98,1.36,,Highest round 2 matrices:,11
13,sm793btr,28,28,13,,0,1,8,10,26,18,1,2,1.80,1.09,2.89,1.35,,Best score round 1 verbal:,40
45,t48d8b07,28,28,45,,0,1,9,5,24,30,1,1,1.45,1.33,2.79,1.19,,Best score round 2 verbal:,41
29,pksadypa,28,28,29,,0,1,7,5,28,25,1,2,1.23,1.31,2.54,1.06,,,
33,130se852,28,28,33,,0,1,5,8,22,27,1,2,1.28,1.21,2.49,1.39,,,
60,4ff5kpst,28,28,60,,0,1,1,10,40,19,1,1,1.02,1.46,2.48,1.37,,,
54,9jim207x,28,28,54,,0,1,9,9,6,20,1,1,1.82,0.64,2.46,1.31,,,
23,g9zidoql,28,28,23,,0,1,7,11,12,13,1,1,1.78,0.62,2.39,1.32,,,
74,vhdmsqn3,28,28,74,,0,1,5,7,25,22,1,1,1.19,1.16,2.35,1.17,,,
22,mkp94oem,28,28,22,,0,1,5,8,17,26,1,1,1.28,1.06,2.34,1.36,,,
2,kr8a9i9s,28,28,2,,0,1,7,8,22,10,1,2,1.51,0.79,2.30,0.97,,,
9,ve8hiibv,28,28,9,,0,1,3,7,24,25,1,2,0.97,1.21,2.18,1.25,,,
32,d6vz67nx,28,28,32,,0,1,7,5,24,14,1,2,1.23,0.94,2.17,0.80,,,
57,c44nix4z,28,28,57,,0,1,2,6,31,24,1,2,0.77,1.36,2.13,1.13,,,
7,d340vnub,28,28,7,,0,1,5,3,29,22,1,1,0.83,1.26,2.09,0.81,,,
11,jxaegxog,28,28,11,,0,1,3,4,25,31,1,2,0.70,1.38,2.08,1.12,,,
4,s41nbnb6,28,28,4,,0,1,6,6,20,15,1,2,1.21,0.87,2.08,0.91,,,
53,roofs6jb,28,28,53,,0,1,5,8,12,20,1,2,1.28,0.79,2.07,1.22,,,
58,vqwdqmke,28,28,58,,0,1,5,6,16,16,1,1,1.10,0.79,1.89,0.94,,,
18,7ann7k7h,28,28,18,,0,1,5,7,16,12,1,2,1.19,0.69,1.88,0.93,,,
62,4eai5ca1,28,28,62,,0,1,1,4,21,36,1,1,0.47,1.40,1.88,1.24,,,
40,h895jsqr,28,28,40,,0,1,1,4,19,35,1,1,0.47,1.33,1.80,1.22,,,
55,vriozoue,28,28,55,,0,1,6,7,7,13,1,2,1.30,0.49,1.80,0.95,,,
61,uug7mmuu,28,28,61,,0,1,0,6,29,20,1,1,0.55,1.21,1.76,1.03,,,
56,aknchhql,28,28,56,,0,1,0,6,17,32,1,2,0.55,1.21,1.75,1.33,,,
94,nqz3o6vy,28,28,94,,0,1,4,3,18,23,1,2,0.72,1.01,1.73,0.83,,,
70,rmoej3r1,28,28,70,,0,1,6,3,10,18,1,2,0.94,0.69,1.63,0.71,,,
67,m5vdmbl1,28,28,67,,0,1,3,7,6,20,1,2,0.97,0.64,1.61,1.12,,,
72,z032r9c3,28,28,72,,0,1,3,5,15,17,1,1,0.79,0.79,1.58,0.87,,,
31,heslfceu,28,28,31,,0,1,5,2,10,24,1,2,0.74,0.84,1.57,0.77,,,
27,v36h3o57,28,28,27,,0,1,5,4,18,8,1,2,0.92,0.65,1.56,0.56,,,
34,wd3vcriq,28,28,34,,0,1,6,3,7,18,1,2,0.94,0.61,1.55,0.71,,,
15,86hyr9kk,28,28,15,,0,1,4,6,15,7,1,1,0.99,0.55,1.54,0.72,,,
68,vw011z4a,28,28,68,,0,1,5,6,4,12,1,2,1.10,0.39,1.49,0.84,,,
48,bc958mw3,28,28,48,,0,1,2,4,20,16,1,2,0.59,0.89,1.48,0.75,,,
73,d8yxqwfx,28,28,73,,0,1,3,5,4,24,1,1,0.79,0.69,1.47,1.04,,,
17,akn1bmsg,28,28,17,,0,2,6,3,8,12,1,1,0.94,0.49,1.43,0.57,,,
51,3v8f6v7p,28,28,51,,0,1,5,0,15,20,1,1,0.56,0.86,1.42,0.49,,,
21,b2y7v4dc,28,28,21,,0,1,3,4,8,21,1,1,0.70,0.71,1.41,0.88,,,
3,o3dul7x0,28,28,3,,0,1,1,6,13,16,1,1,0.66,0.72,1.37,0.94,,,
49,tb44k8pw,28,28,49,,0,1,1,4,17,19,1,2,0.47,0.89,1.36,0.83,,,
63,8y84soia,28,28,63,,0,1,2,4,16,14,1,1,0.59,0.74,1.33,0.71,,,
26,550jpkgy,28,28,26,,0,1,3,3,14,12,1,1,0.61,0.64,1.25,0.57,,,
8,uecytn1r,28,28,8,,0,1,0,6,13,14,1,1,0.55,0.67,1.21,0.89,,,
16,duu8ielp,28,28,16,,0,1,2,4,13,12,1,1,0.59,0.62,1.20,0.66,,,
64,smea8e6t,28,28,64,,0,1,2,3,17,10,1,2,0.49,0.67,1.16,0.52,,,
41,nr42ds1b,28,28,41,,0,1,3,5,0,12,1,2,0.79,0.29,1.08,0.75,,,
28,at26p0wo,28,28,28,,0,1,1,4,6,16,1,1,0.47,0.54,1.01,0.75,,,
91,plt6yitg,28,28,91,,0,1,0,2,10,12,1,2,0.18,0.54,0.72,0.47,,,